Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
Kylie Cosmetics,kylie-cosmetics,live,2,Free U.S. Shipping with Orders Over $40,40,,sale,2,40,114,250,11,50,"Free shipping on orders $40+ (current store policy) || Currently 40% off across 2 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
La Colombe Coffee,la-colombe-coffee,live,2,Just for Members: 30% OFF SITEWIDE Just for Members: 30% OFF SITEWIDE Shop now,,,sale,15,18,1,56,18,18,"Currently 18% off across 15 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Just for Members: 30% OFF SITEWIDE Just for Members: 30% OFF SITEWIDE Shop now""",2026-05-08
La Garconne,la-garconne,live,2,20% OFF,,,sale,50,52,,,,,"Currently 52% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""20% OFF""",2026-05-08
LA Girl Cosmetics,la-girl-cosmetics,live,1,Free Shipping on Orders $35+,35,,,,,,,,,Free shipping on orders $35+ (current store policy),2026-05-08
Lack of Color,lack-of-color,live,1,,,,,,,1,95,49,49,"Currently 1 products on sale (1% of recent inventory) — average discount 49% off list, up to 49% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
LIFX,lifx,live,1,Free shipping on all orders over $59.,59,,,,,,,,,Free shipping on orders $59+ (current store policy),2026-05-08
Lila Nikole,lila-nikole,live,1,,,,sale,10,44,14,192,37,71,"Currently 44% off across 10 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Limited Run Games,limited-run-games,live,1,,,,,,,8,250,63,86,"Currently 8 products on sale (3% of recent inventory) — average discount 63% off list, up to 86% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Liquid Death,liquid-death,live,1,,,,,,,26,208,39,100,"Currently 26 products on sale (12% of recent inventory) — average discount 39% off list, up to 100% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Live Fit Apparel,live-fit-apparel,live,2,MOTHERS DAY SALE // 25% OFF SITEWIDE // CODE: LVFTFITMOM,,,sale,50,48,8,250,53,70,"Currently 48% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""MOTHERS DAY SALE // 25% OFF SITEWIDE // CODE: LVFTFITMOM""",2026-05-08
Livestock,livestock,live,1,,,,sale,50,42,68,250,40,65,"Currently 42% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Lord Timepieces,lord-timepieces,live,1,Worldwide Shipping,,,sale,45,29,102,104,29,37,"Currently 29% off across 45 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Loreta,loreta,live,1,,,,sale,50,49,19,250,33,60,"Currently 49% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Love Your Melon,love-your-melon,live,1,Free Shipping On Orders Over $100 Free Shipping On Orders Over $100,100,,,,,,,,,Free shipping on orders $100+ (current store policy),2026-05-08
Lovepop,lovepop,live,2,Free shipping on all US orders over $24,24,,,,,15,250,8,10,"Free shipping on orders $24+ (current store policy) || Currently 15 products on sale (6% of recent inventory) — average discount 8% off list, up to 10% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
LSPACE,lspace,live,1,FREE INTERNATIONAL SHIPPING ON ORDERS $200+,200,,,,,,,,,Free shipping on orders $200+ (current store policy),2026-05-08
Lumee,lumee,live,2,Wholesale Bulk Buys,,,,,,33,250,18,66,"Currently 33 products on sale (13% of recent inventory) — average discount 18% off list, up to 66% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""Wholesale Bulk Buys""",2026-05-08
Luminous Eshop,luminous-eshop,live,2,You can save up to 80%* on monthly electricity bills. Get a quote!,,,,,,51,55,40,80,"Currently 51 products on sale (93% of recent inventory) — average discount 40% off list, up to 80% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""You can save up to 80%* on monthly electricity bills. Get a quote!""",2026-05-08
Luxy Hair,luxy-hair,live,1,,,,,,,93,250,22,50,"Currently 93 products on sale (37% of recent inventory) — average discount 22% off list, up to 50% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Magic Spoon,magic-spoon,live,1,⌛ Limited! FREE Bowl Set for New Subscribers! 🥣✨,,,,,,37,250,11,20,"Currently 37 products on sale (15% of recent inventory) — average discount 11% off list, up to 20% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Mahabis,mahabis,live,2,"woohoo! you’ll save 20% on checkout due to our bundle offer buy 2 or more full price slipper pairs, get 20% off",,,,,,100,166,43,71,"Currently 100 products on sale (60% of recent inventory) — average discount 43% off list, up to 71% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""woohoo! you’ll save 20% on checkout due to our bundle offer buy 2 or more full price slipper pairs, get 20% off""",2026-05-08
Mahiya Leather,mahiya-leather,live,2,AUSTRALIA ONLY SALE! Closing down - no returns,,,sale,32,61,118,126,57,80,"Currently 61% off across 32 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""AUSTRALIA ONLY SALE! Closing down - no returns""",2026-05-08
Maker Shed,maker-shed,live,2,Free shipping,,,,,,49,250,22,72,"Free shipping (per current site banner: 'Free shipping') || Currently 49 products on sale (20% of recent inventory) — average discount 22% off list, up to 72% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Mansur Gavriel,mansur-gavriel,live,1,,,,sale-shoes,5,31,21,250,32,45,"Currently 31% off across 5 products in our 'sale-shoes' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
MantraBand,mantraband,live,1,,,,sale,50,40,89,244,36,70,"Currently 40% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Maramani,maramani,live,0,,,,,,,,,,,,2026-05-08
Mavi,mavi,live,3,Mavi Jeans Official Online Store. Shop Premium Denim & Apparel for Women and Men. Largest Selection. Sizes 24-40. Free Shipping & Returns.,,,sale-women,50,26,41,250,28,50,"Free shipping (per current site banner: 'Mavi Jeans Official Online Store. Shop Premium Denim & Apparel for Women and Men. Largest Selection. Sizes 24-40. Free Shipping & Returns.') || Currently 26% off across 50 products in our 'sale-women' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Mavi Jeans Official Online Store. Shop Premium Denim & Apparel for Women and Men. Largest Selection. Sizes 24-40. Free Shipping & Returns.""",2026-05-08
MediaMarkt Portugal,mediamarkt-portugal,live,0,,,,,,,,,,,,2026-05-08
